# Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Vertical acceleration (G),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Stability margin calibers (​)
0,0,0,0,0,0,0,0,27.93,-80.71,72.65,0,0,0,72.02,90.01,NaN
0.01,0,1.18,1.27,11.19,11.86,0,0,27.93,-80.71,65.37,0,0,0,72.02,90.01,NaN
0.02,0.03,4.61,4.9,10.11,10.73,0.01,0,27.93,-80.71,48.82,0,0,0,72.02,90.01,NaN
0.02,0.05,5.57,5.92,9.79,10.39,0.02,0,27.93,-80.71,45.26,0,0,0,72.02,90.01,NaN
0.03,0.08,6.99,7.43,9.96,10.47,0.03,0,27.93,-80.71,40.74,0,0,0,72.02,90.01,NaN
0.03,0.13,9.17,9.72,10.08,10.6,0.05,0,27.93,-80.71,35.01,0,0,0,72.02,90.01,NaN
0.04,0.24,12.44,13.16,10.26,10.79,0.09,0,27.93,-80.71,28.65,0,0,0,72.02,90.01,NaN
0.05,0.38,15.77,16.66,10.43,10.97,0.13,0,27.93,-80.71,24.06,0,0,0,72.02,90.01,NaN
0.06,0.55,19.16,20.22,10.61,11.16,0.19,0,27.93,-80.71,20.91,0,0,0,72.02,90.01,NaN
0.07,0.76,22.6,23.84,10.79,11.34,0.26,0,27.93,-80.71,18.51,0,0,0,72.02,90.01,NaN
0.07,0.83,23.56,24.84,10.84,11.4,0.28,0,27.93,-80.71,17.93,0,0,0,72.02,90.01,NaN
0.08,0.93,24.99,26.35,10.79,11.34,0.31,0,27.93,-80.71,17.13,0,0,0,72.02,90.01,NaN
0.08,1.09,27.13,28.6,10.72,11.27,0.37,0,27.93,-80.71,16.1,0,0,0,72.02,90.01,NaN
0.09,1.35,30.31,31.95,10.6,11.15,0.46,0,27.93,-80.71,14.78,0,0,0,72.02,90.01,NaN
0.1,1.67,33.71,35.52,10.49,11.03,0.56,0,27.93,-80.71,13.64,0,0,0,72.02,90.01,NaN
0.11,2.03,37.06,39.04,10.37,10.9,0.68,0,27.93,-80.71,12.55,0,0,0,72.02,90.01,NaN
0.12,2.41,40.38,42.53,10.25,10.77,0.81,0,27.93,-80.71,11.69,0,0,0,72.02,90.01,NaN
0.14,2.94,44.44,46.8,10.1,10.62,0.98,0,27.93,-80.71,10.77,0,0,0,72.02,90.01,NaN
0.15,3.4,47.71,50.24,10.22,10.74,1.14,0,27.93,-80.71,10.14,0,0,0,72.02,90.01,NaN
0.16,3.89,51.01,53.71,10.34,10.87,1.3,0,27.93,-80.71,9.57,0,0,0,72.02,90.01,NaN
0.17,4.42,54.36,57.23,10.46,11,1.47,0,27.93,-80.71,9.05,0,0,0,72.02,90.01,NaN
0.18,4.98,57.74,60.79,10.58,11.12,1.66,0,27.93,-80.71,8.59,0,0,0,72.02,90.01,NaN
0.19,5.58,61.14,64.35,10.51,11.05,1.85,0,27.93,-80.71,8.14,0,0,0,72.02,90.01,NaN
0.2,6.2,64.51,67.9,10.45,10.99,2.06,0,27.93,-80.71,7.79,0,0,0,72.02,90.01,NaN
0.21,6.87,67.86,71.42,10.39,10.92,2.28,0,27.93,-80.71,7.28,0,0,0,72.02,90.01,NaN
0.22,7.56,71.19,74.93,10.32,10.85,2.5,0,27.93,-80.71,6.76,0,0,0,72.02,90.01,NaN
0.23,8.29,74.5,78.41,10.2,10.79,2.74,0,27.93,-80.71,6.25,0,0,0,72.02,90.01,1.44
0.24,9.45,79.4,83.59,10.1,10.68,3.12,0,27.93,-80.71,5.67,0,0,0,72.02,90.01,1.49
0.26,11.32,86.66,91.27,9.96,10.53,3.74,0,27.93,-80.71,4.93,0,0.01,0,71.96,90.01,1.56
0.27,12.15,89.7,94.48,9.89,10.46,4.02,0,27.93,-80.71,4.7,0,0.01,0,71.96,90.07,1.58
0.29,13.46,94.27,99.31,10.05,10.63,4.45,0,27.93,-80.71,4.35,0,0.01,0,71.91,90.07,1.62
0.31,15.55,101.25,106.7,10.27,10.87,5.14,0,27.93,-80.71,3.9,0,0.01,0,71.79,90.18,1.66
0.33,17.79,108.4,114.26,10.5,11.12,5.89,0.01,27.93,-80.71,3.61,0,0.02,0,71.68,90.24,1.7
0.36,20.84,117.27,123.66,9.94,10.53,6.91,0.01,27.93,-80.71,3.38,0,0.02,0,71.51,90.41,1.73
0.4,26.05,130.79,137.99,10.06,10.68,8.65,0.01,27.93,-80.71,3.44,0,0.03,0,71.05,90.76,1.74
0.44,31.65,143.71,151.75,9.63,10.28,10.54,0.02,27.93,-80.71,2.18,0,0.04,0,70.47,91.1,1.88
0.47,36.59,153.81,162.55,9.27,9.96,12.23,0.02,27.93,-80.71,1.32,0,0.05,0,69.9,91.44,1.98
0.52,44.63,168.84,178.76,9.48,10.29,15,0.02,27.93,-80.71,0.34,0,0.05,0.02,68.98,91.96,2.12
0.55,49.86,178.11,188.82,9.61,10.49,16.83,0.01,27.93,-80.71,0.23,0,-0.04,0.03,68.41,92.25,2.14
0.6,58.24,192.12,204.13,9.63,10.61,19.81,-0.01,27.93,-80.71,0.46,0,-0.05,0.01,67.55,92.59,2.12
0.65,68.23,207.64,221.22,9.66,10.73,23.44,-0.05,27.93,-80.71,0.52,-0,-0.05,0.01,66.69,92.88,2.13
